序号,服务模块,错误码,错误信息
1,ncms-base-auth,000000000000,交易成功
2,ncms-base-auth,UCMPAUFAB001,人脸识别通过
3,ncms-base-auth,UCMPAUFAB002,"人脸识别异常：{0}, 跳转到信贷登录页"
4,ncms-base-auth,UCMPAUFAB003,人脸识别：后端活体检测异常
5,ncms-base-auth,UCMPAUFAB004,人脸识别：二照比对异常
6,ncms-base-auth,UCMPAUFAB005,人脸识别：结果异常
7,ncms-base-auth,UCMPAUFAB006,人脸识别：请求参数为空，请确认
8,ncms-base-auth,UCMPAUFAB007,人脸识别：客户端活体检测异常
9,ncms-base-auth,UCMPAUFAB008,人脸识别：客户端活体检测：不通过
10,ncms-base-auth,UCMPAUSZB001,调用统一认证:获取访问令牌接口调用异常
11,ncms-base-auth,UCMPAUSZB002,调用统一认证:获取访问令牌接口失败
12,ncms-base-auth,UCMPAUSZB003,调用统一认证:获取访问令牌接口成功
13,ncms-base-auth,UCMPAUSZB004,调用统一认证:获取获取用户信息异常
14,ncms-base-auth,UCMPAUSZB005,调用统一认证:获取获取用户信息成功
15,ncms-base-auth,UCMPAUSZB006,调用统一认证:获取获取用户信息：未获取到用户信息
16,ncms-base-auth,UCMPAUSZB007,调用统一认证:登出异常
17,ncms-base-auth,UCMPAUSZB008,调用统一认证:登出成功
18,ncms-base-auth,UCMPAUSZB009,调用统一认证:参数不能为空
19,ncms-base-auth,UCMPAUSZB010,调用统一认证:请求申请授权令牌接口SFRZ1101错误
20,ncms-base-auth,UCMPAUSZB011,调用统一认证:发送验证码异常:响应非成功状态
21,ncms-base-auth,UCMPAUSZB012,调用统一认证:请求验证码发送接口异常
22,ncms-base-auth,UCMPAUSZB013,调用统一认证:验证码验证异常:响应非成功状态
23,ncms-base-auth,UCMPAUSZB014,调用统一认证:验证码验证接口SFRZ1107异常
24,ncms-base-auth,UCMPAUSZB015,调用统一认证:密码验证异常:响应非成功状态
25,ncms-base-auth,UCMPAUSZB016,调用统一认证:密码验证接口SFRZ1105异常
26,ncms-base-auth,UCMPAUSZB017,调用统一认证:{0}
27,ncms-base-auth,UCMPAU00B001,用户已失效
28,ncms-base-auth,UCMPAU00B002,用户已锁定
29,ncms-base-auth,UCMPAUCSB001,密码服务平台加密异常{0}
30,ncms-base-auth,UCMPAU00B003,系统参数{0}不存在
